Entity;Text;Start;End;Name
Location;My suggestion for where to go is Austin.;33;39;Austin
Person;Randy, Can you send me a schedule of the salary and level of everyone in the scheduling group.;0;5;Randy
Person;Phillip Let's shoot for Tuesday at 11:45.;0;7;Phillip
Time;Phillip Let's shoot for Tuesday at 11:45.;24;31;Tuesday
Person; Greg, How about either next Tuesday or Thursday?;1;5;Greg
Time; Greg, How about either next Tuesday or Thursday?;29;36;Tuesday
Time; Greg, How about either next Tuesday or Thursday?;40;48;Thursday
Person;Phillip Please cc the following distribution list with updates: Phillip Allen (pallen@enron.com);0;7;Phillip
Person;Phillip Please cc the following distribution list with updates: Phillip Allen (pallen@enron.com);64;77;Phillip Allen
Person;Mike Grigsby (mike.grigsby@enron.com);0;12;Mike Grigsby
Person;Keith Holst (kholst@enron.com);0;11;Keith Holst
Person;Monique Sanchez;0;15;Monique Sanchez
Person;Frank Ermis;0;11;Frank Ermis
Person;John Lavorato Thank you for your help Phillip Allen;0;13;John Lavorato
Person;John Lavorato Thank you for your help Phillip Allen;38;51;Phillip Allen
Time;any morning between 10 and 11:30;4;11;morning
Time;any morning between 10 and 11:30;27;32;11:30
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/16/2000;36;51;Phillip K Allen
Date;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/16/2000;63;73;10/16/2000
Time;01:42;0;5;01:42
Person;--------------------------- Buckner, Buck <buck.buckner@honeywell.com> on 10/12/2000 01:12:21 PM;28;41;Buckner, Buck
Date;--------------------------- Buckner, Buck <buck.buckner@honeywell.com> on 10/12/2000 01:12:21 PM;74;84;10/12/2000
Time;--------------------------- Buckner, Buck <buck.buckner@honeywell.com> on 10/12/2000 01:12:21 PM;85;96;01:12:21 PM
Product;To: 'Pallen@Enron.com' <Pallen@Enron.com> cc: Subject: FW: fixed forward or other Collar floor gas price terms;95;98;gas
Person;Phillip,;0;7;Phillip
Product;As discussed during our phone conversation, In a Parallon 75 microturbine > power generation deal for a national accounts customer, I am developing a > proposal to sell power to customer at fixed or collar/floor price.;76;81;power
Product;As discussed during our phone conversation, In a Parallon 75 microturbine > power generation deal for a national accounts customer, I am developing a > proposal to sell power to customer at fixed or collar/floor price.;169;174;power
Product;so I need a corresponding term gas price for same.;31;34;gas
Product;Microturbine is an > onsite generation product developed by Honeywell to generate electricity > on customer site (degen).;0;12;Microturbine
Organization;Microturbine is an > onsite generation product developed by Honeywell to generate electricity > on customer site (degen).;60;69;Honeywell
Product;using natural gas.;14;17;gas
Product;In doing so, I need your > best fixed price forward gas price deal for 1, 3, 5, 7 and 10 years for >;52;55;gas
Time;In doing so, I need your > best fixed price forward gas price deal for 1, 3, 5, 7 and 10 years for >;86;94;10 years
Product;annual/seasonal supply to microturbines to generate fixed kWh for > customer.;26;39;microturbines
Product;no risk forward gas price to make deal work.;16;19;gas
Product;Therein comes Sempra energy > gas trading, truly you.;30;33;gas
Location;We are proposing installing 180 - 240 units across a large number of > stores (60-100) in San Diego.;90;99;San Diego
Time;For 6-8 hours a day Microturbine run time: >;8;13;hours
Product;For 6-8 hours a day Microturbine run time: >;20;32;Microturbine
Product;Gas requirement for 180 microturbines 227;0;3;Gas
Product;Gas requirement for 180 microturbines 227;24;37;microturbines
Product;> Gas requirement for 240 microturbines;2;5;Gas
Product;> Gas requirement for 240 microturbines;26;39;microturbines
Product;Gas will likely be consumed from May through September, during peak;0;3;Gas
Time;Gas will likely be consumed from May through September, during peak;33;36;May
Time;Gas will likely be consumed from May through September, during peak;45;54;September
Product;Gas price required:;0;3;Gas
Location;Burnertip price behind (LDC) San Diego Gas & Electric;29;38;San Diego
Product;Burnertip price behind (LDC) San Diego Gas & Electric;39;42;Gas
Person;> Buck Buckner, P.E., MBA;2;14;Buck Buckner
Organization;> Honeywell Power Systems, Inc.;2;31;Honeywell Power Systems, Inc.
Location;> Albuquerque, NM 87113;2;13;Albuquerque
Person; Mr. Buckner, For delivered gas behind San Diego, Enron Energy Services is the appropriate Enron entity.;5;12;Buckner
Product; Mr. Buckner, For delivered gas behind San Diego, Enron Energy Services is the appropriate Enron entity.;28;31;gas
Location; Mr. Buckner, For delivered gas behind San Diego, Enron Energy Services is the appropriate Enron entity.;39;48;San Diego
Organization; Mr. Buckner, For delivered gas behind San Diego, Enron Energy Services is the appropriate Enron entity.;50;71;Enron Energy Services
Organization; Mr. Buckner, For delivered gas behind San Diego, Enron Energy Services is the appropriate Enron entity.;91;96;Enron
Person;I have forwarded your request to Zarin Imam at EES.;33;43;Zarin Imam
Organization;I have forwarded your request to Zarin Imam at EES.;47;50;EES
Person;Phillip Allen;0;13;Phillip Allen
Person;Lucy,;0;4;Lucy
Person;Phillip ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/09/2000;0;7;Phillip
Person;Phillip ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/09/2000;44;59;Phillip K Allen
Date;Phillip ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 10/09/2000;71;81;10/09/2000
Time;02:16;0;5;02:16
Person;--------------------------- Richard Burchfield;28;46;Richard Burchfield
Date;10/06/2000 06:59 AM;0;10;10/06/2000
Time;10/06/2000 06:59 AM;11;19;06:59 AM
Person;Phillip K Allen/HOU/ECT@ECT cc:;0;15;Phillip K Allen
Person;Beth Perlman/HOU/;0;12;Beth Perlman
Person;Phillip, Below is the issues & to do list as we go forward with documenting the requirements for consolidated physical/financial positions and transport trade capture.;0;7;Phillip
Person;"What we need to focus on is the first bullet in Allan's list; the need for a single set of requirements.";48;53;Allan
Person;Although the meeting with Keith, on Wednesday, was informative the solution of creating a infinitely dynamic consolidated position screen, will be extremely difficult and time consuming.;26;31;Keith
Time;Although the meeting with Keith, on Wednesday, was informative the solution of creating a infinitely dynamic consolidated position screen, will be extremely difficult and time consuming.;36;45;Wednesday
Time;Throughout the meeting on Wednesday, Keith alluded to the inability to get consensus amongst the traders on the presentation of the consolidated position, so the solution was to make it so that a trader can arrange the position screen to their liking (much like Excel).;26;35;Wednesday
Person;Throughout the meeting on Wednesday, Keith alluded to the inability to get consensus amongst the traders on the presentation of the consolidated position, so the solution was to make it so that a trader can arrange the position screen to their liking (much like Excel).;37;42;Keith
Time;What needs to happen on Monday from 3 - 5 is a effort to design a desired layout for the consolidated position screen, this is critical.;24;30;Monday
Person;Richard;0;7;Richard
Person;Forwarded by Richard Burchfield/HOU/ECT on 10/06/2000;13;31;Richard Burchfield
Date;Forwarded by Richard Burchfield/HOU/ECT on 10/06/2000;43;53;10/06/2000
Time;08:34 AM;0;8;08:34 AM
Person;Allan Severude 10/05/2000 06:03 PM;0;5;Allan
Date;Allan Severude 10/05/2000 06:03 PM;15;25;10/05/2000
Time;Allan Severude 10/05/2000 06:03 PM;26;34;06:03 PM
Person;Richard Burchfield/HOU/ECT@ECT cc:;0;18;Richard Burchfield
Person;Peggy Alix/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT,;0;10;Peggy Alix
Person;Peggy Alix/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT,;24;37;Russ Severson
Person;Scott Mills/HOU/;0;11;Scott Mills
Person;Kenny Ha/HOU/ECT@ECT;0;8;Kenny Ha
Product;Gas Daily for monthly index, Physical gas for Nymex, Physical gas for Inside Ferc, Physical gas for Mid market.;0;3;Gas
Product;Gas Daily for monthly index, Physical gas for Nymex, Physical gas for Inside Ferc, Physical gas for Mid market.;38;41;gas
Organization;Gas Daily for monthly index, Physical gas for Nymex, Physical gas for Inside Ferc, Physical gas for Mid market.;46;51;Nymex
Product;Gas Daily for monthly index, Physical gas for Nymex, Physical gas for Inside Ferc, Physical gas for Mid market.;62;65;gas
Organization;Gas Daily for monthly index, Physical gas for Nymex, Physical gas for Inside Ferc, Physical gas for Mid market.;70;81;Inside Ferc
